,index,isFraud,Fraud %,fraud column 1,fraud value 1,fraud weight 1,fraud column 2,fraud value 2,fraud weight 2,fraud column 3,fraud value 3,fraud weight 3,fraud column 4,fraud value 4,fraud weight 4,fraud column 5,fraud value 5,fraud weight 5,normal column 1,normal value 1,normal weight 1,normal column 2,normal value 2,normal weight 2,normal column 3,normal value 3,normal weight 3,normal column 4,normal value 4,normal weight 4,normal column 5,normal value 5,normal weight 5
0,10897,1,99.0,V14,-14.6663889726541,1.5216942233775625,V4,11.165525840514,0.8301321873956476,V10,-14.166794659606,0.8191346915398026,V12,-14.9854337328686,0.5026932252020925,V16,-8.33324249555463,0.15319743487343657,V18,-4.87668342078337,0.04882536246295786,V26,0.816761717958274,0.04295956851769006,V28,-1.17806316323334,0.019617493666301014,V13,0.345179234077653,0.002713716528378427,V25,0.995271346300177,0.0010537078921333887
1,264487,0,2.2,V12,-1.33192603250925,0.12492008352390258,V8,-0.0797292879700663,0.11884991389757488,V23,-0.413891280732371,0.10696088889002567,V9,-2.33004339551878,0.02682407865242567,V25,0.772251476267314,0.024318087902211117,V4,-3.14640709759017,1.3208061639218067,V14,-0.585818759822731,1.148552097111242,V10,0.400927956141987,0.7805382765695685,V17,0.172528191226652,0.19545778678904754,V11,-1.48502471653986,0.17376260132848984
2,223750,0,39.5,V4,4.43275746360099,1.2392370804335224,V7,2.61974402308146,0.2687618752209528,V18,0.320115571114477,0.21446474133321317,V19,1.72679706240164,0.09662603709992254,V23,0.611094008689753,0.05241789849445922,V14,0.49204429699762,1.1287705159767938,V12,0.449363173294611,0.7501193309851806,V10,0.769091348215059,0.24732606300152837,V8,0.804989252607776,0.2014176766126184,V16,0.496301249329176,0.12546363500019653
3,115258,0,7.4,V4,2.38517656667174,0.8145063969364855,V8,-0.123558687587187,0.2264642784773605,V21,-0.508937964294166,0.15057552728190784,V26,-0.468108863550281,0.13706846863089595,V9,-0.85104391107345,0.024616541187278927,V14,0.457292150676566,1.3303227664279984,V12,-0.253002321811843,0.8695661524339812,V11,-0.776344899511891,0.4156467584159691,V10,0.672237692814554,0.35763305214844876,V17,-0.694182984622451,0.260895852195099
4,83417,1,99.0,V14,-6.23304367078495,1.6375854946361506,V10,-3.25263359468289,0.9194599623541581,V4,3.79494903930385,0.7982341615480254,V12,-5.31444220386187,0.514064306805958,V17,-9.51641148491956,0.2266737531882245,V8,0.625278383544947,0.08835774176848644,V18,-4.36412771489086,0.041765474150888625,V2,-0.364223121381638,0.02671154963434674,scaled_amount,-0.22483057360441558,0.018689080356707563,V20,0.0196261688931224,0.012299721253511961
5,167276,0,1.3,V8,0.166454818728963,0.06046522816264769,V18,0.221725311966592,0.03576127009378979,V3,-0.325217148860487,0.0006707576237386093,scaled_time,0.39824246055522267,-0.002227118416049052,V15,0.596464413899283,-0.0023062412347644567,V14,-0.473297097665319,1.0850957253586966,V4,0.213655014227871,0.8912481134934933,V10,-0.0431414338774159,0.6211742756860258,V12,0.222375639110138,0.5741134147798584,V9,1.43333551234398,0.25322318244870984
6,279863,1,98.9,V14,-6.66517689463338,1.606241313564824,V10,-5.58779378195338,1.0525200664380099,V4,1.74929253346589,0.6687427996120823,V12,-5.4174240819973,0.5409892468891121,V17,-4.57052943365069,0.22508316390711117,V8,0.697211109261327,0.1292341315030353,scaled_time,0.9921404151834491,0.10642622534229304,V18,-1.31514721385427,0.040655805492569926,V26,0.788395056528708,0.03314094932138687,V19,0.391167040935071,0.010600478114356519
7,239499,1,99.0,V14,-4.69115085524464,2.1853269326107694,V10,-4.48548270396242,1.0408983558064937,V12,-2.64421945060054,0.37299835318983243,V17,-3.48343626722796,0.22339443948148982,V16,-2.55325078310516,0.15213348420729744,V4,0.119476214172018,0.21044450320652686,scaled_amount,0.39125270732900164,0.051502285373280755,scaled_time,0.768876514056791,0.003745948359137401,V22,0.561496277430611,0.0033580488502047957,V1,-2.15085504470997,0.001116829072125256
8,234633,1,99.0,V14,-8.48579450596077,1.6431914667718228,V4,5.34275900861121,0.8665944151459553,V10,-3.20243612238872,0.8607012710196432,V12,-3.98641621648026,0.5094564383331818,scaled_amount,-0.2851952770208901,0.2064440162104438,V17,-1.37262938444618,0.10377676407864783,V26,0.192921615175897,0.041564402235962916,V18,-0.10431295585569,0.024553550967248157,V24,-0.0188195044268996,0.02449706230283482,scaled_time,0.7443813954581233,0.007866183611622547
9,151009,1,98.5,V14,-3.92620731586873,1.1439292449696223,V4,8.90415677106517,0.8924843816432986,V10,-22.1870885620007,0.7619733667168476,V12,-10.5923050053728,0.5096078792217305,V17,-12.4623149481086,0.16929636534972814,V18,-5.50105078380738,0.07553082511694811,V20,2.81224110932946,0.048975857096666006,V19,-0.567939572890149,0.012718536486208904,V28,-1.32488430656137,0.012694419510662556,V27,-7.26348214633855,0.008392071264970581
